Centroid, AL	30	   33.01	  -86.76
Centroid, AK	5	   61.40	 -148.87
Centroid, AZ	33	   33.37	 -111.86
Centroid, AR	15	   35.14	  -92.66
Centroid, CA	132	   35.46	 -119.33
Centroid, CO	84	   39.51	 -105.21
Centroid, CT	365	   41.50	  -72.87
Centroid, DE	4	   39.36	  -75.56
Centroid, FL	178	   27.82	  -81.63
Centroid, GA	228	   33.38	  -83.88
Centroid, HI	6	   21.12	 -157.48
Centroid, ID	11	   44.22	 -115.18
Centroid, IL	30	   41.29	  -88.39
Centroid, IN	71	   40.15	  -86.26
Centroid, IA	15	   41.95	  -93.04
Centroid, KS	25	   38.46	  -96.46
Centroid, KY	31	   37.82	  -85.25
Centroid, LA	7	   30.72	  -91.51
Centroid, ME	84	   44.30	  -69.74
Centroid, MD	464	   39.14	  -76.80
Centroid, MA	667	   42.27	  -71.36
Centroid, MI	84	   42.87	  -84.20
Centroid, MN	18	   45.20	  -93.57
Centroid, MS	4	   32.59	  -89.58
Centroid, MO	29	   38.42	  -92.20
Centroid, MT	2	   46.79	 -111.30
Centroid, NE	3	   41.17	  -97.32
Centroid, NV	4	   37.04	 -116.19
Centroid, NH	128	   43.15	  -71.46
Centroid, NJ	1242	   40.43	  -74.43
Centroid, NM	4	   34.63	 -106.35
Centroid, NY	665	   41.50	  -74.62
Centroid, NC	313	   35.54	  -79.66
Centroid, OH	149	   40.46	  -82.77
Centroid, OK	44	   35.60	  -96.84
Centroid, OR	10	   44.74	 -122.59
Centroid, PA	213	   40.46	  -77.01
Centroid, RI	56	   41.75	  -71.45
Centroid, SC	69	   34.03	  -81.01
Centroid, SD	352	   44.01	  -99.00
Centroid, TN	117	   35.81	  -86.36
Centroid, TX	111	   30.91	  -97.37
Centroid, UT	13	   40.40	 -111.93
Centroid, VT	55	   44.09	  -72.82
Centroid, VA	1859	   37.81	  -77.81
Centroid, WA	11	   47.33	 -121.62
Centroid, WV	26	   38.80	  -80.73
Centroid, WI	54	   43.72	  -89.02
Centroid, PR	2	   18.28	  -66.35
Keswick, VA	319	   38.01	  -78.36
Earlysville, VA	164	   38.15	  -78.46
Charlottesville/Batesville/University Heights/Ivy, VA	1160	   38.04	  -78.52
University of Virginia, VA	19	   38.04	  -78.52
Charlottesville, VA	3084	   38.04	  -78.49
Abbeville, AL	1	   31.57	  -85.25
Abbeville, MS	1	   34.50	  -89.50
Abbeville, SC	1	   34.18	  -82.38
Abbottstown, PA	2	   39.88	  -76.99
Aberdeen/Aberdeen Gardens/Central Park/Markham/Junction City, WA	1	   46.97	 -123.77
Abilene, TX	5	   32.45	  -99.74
Abingdon, MD	5	   39.46	  -76.28
Abingdon, VA	7	   36.71	  -81.97
Aboite/Roanoke, IN	3	   40.96	  -85.38
Accokeek, MD	5	   38.67	  -77.00
Accomac/Pastoria, VA	7	   37.74	  -75.64
Accord, NY	1	   41.80	  -74.23
Ace/West Livingston/Segno/New Willard/Dallardsville/Seven Oaks/Indian Springs/Leggett, TX	2	   30.82	  -94.87
Achilles, VA	5	   37.28	  -76.44
Acres Green/Lone Tree, CO	9	   39.53	 -104.87
Acworth, GA	9	   34.06	  -84.67
Acy, LA	1	   30.22	  -90.82
Adair Village, OR	4	   44.67	 -123.22
Adair, OK	2	   36.44	  -95.27
Adairsville, GA	1	   34.37	  -84.92
Adamstown, MD	4	   39.31	  -77.47
Adamstown, PA	1	   40.24	  -76.06
Addicks, TX	18	   29.78	  -95.64
Addison, IL	4	   41.93	  -88.01
Addison, PA	4	   39.75	  -79.33
Addison, TX	1	   32.96	  -96.84
Adelaide/Lakota, WA	8	   47.33	 -122.37
Adelanto, CA	1	   34.59	 -117.44
Adrian, MI	1	   41.90	  -84.04
Agricola/Halls Summit/Waverly, KS	1	   38.40	  -95.60
Agua Dulce/Green Valley, CA	2	   34.62	 -118.41
Agua Fria/La Cienega, NM	1	   35.58	 -106.11
Aguanga, CA	1	   33.45	 -116.86
Ahoskie, NC	3	   36.28	  -76.99
Aiken, SC	2	   33.53	  -81.73
Akron, AL	1	   32.88	  -87.74
Akron, NY	1	   43.02	  -78.50
Akron, OH	6	   41.08	  -81.52
Alachua, FL	1	   29.78	  -82.48
Aladdin/Leechburg/West Leechburg/Schenley, PA	2	   40.68	  -79.66
Alafaya, FL	3	   28.52	  -81.18
Alameda, CA	15	   37.77	 -122.27
Alarka/Lauada/Almond/Bryson City, NC	1	   35.43	  -83.45
Albany, CA	2	   37.89	 -122.30
